,ProductID,Initial Price,Best Price,Best Profit,Method
0,12,1963.1,2459.0020692893945,824550.0619457714,KKT
1,27,3939.6,4503.40158972774,568881.2458316643,KKT
2,16,1775.5,940.0834632100047,5569370.195718254,KKT
3,23,2324.9,1928.1284103925707,965092.281146945,KKT
4,26,1822.4,1945.570617623119,258816.96582759864,KKT
5,1,1038.5,625.1067817382396,718984.0019057298,KKT
6,5,1192.6,671.7553595207471,1902269.7381141887,KKT
7,46,1815.7,3399.6656296898796,490993.339839135,KKT
8,47,3879.3,3097.394695808842,1323467.3436233832,KKT
9,13,1956.4,1430.3036159781723,1326725.4117829457,KKT
10,38,201.0,163.85036411670123,76632.93940358199,KKT
11,40,6277.9,22411185.78617303,51784458.20615771,KKT
12,39,1051.9,781.5738756541317,527243.588227736,KKT
13,32,254.6,1511.4319130966385,106913.8388928866,KKT
14,6,3932.9,4468.155186072126,569338.9006055705,KKT
15,25,1112.2,884.8776201762519,446957.5557290317,KKT
16,3,984.9,1009.3371680903805,451623.35036603577,KKT
17,20,5581.1,9935.083515902646,1726534.117695043,KKT
18,24,3095.4,2644.952893133413,1052185.171836333,KKT
19,33,2278.0,2462.231712421642,375571.50419435115,KKT
20,35,3979.8,5576.992149007149,914810.4858078487,KKT
21,15,1969.8,1419.8175729533136,843407.5652015706,KKT
22,36,3999.9,3549.8238964561097,1088803.9536167204,KKT
23,37,5976.4,3537.5813301628614,5365474.94729924,KKT
24,14,5735.2,2.7981362844801332e+31,7.357376530815321e+31,KKT
25,7,3919.5,7087.215163929887,1592955.6956733316,KKT
26,17,998.3,3364875.396735165,984009.7605269847,KKT
27,2,2405.3,2376.0993777679014,670075.2216008188,KKT
28,34,2452.2,2600.435937198166,641777.3362916101,KKT
29,11,3095.4,2735.162607945402,939920.6911746872,KKT
30,8,3865.9,2872.601643686594,2076641.3465090774,KKT
31,44,2278.0,4118.81382224736,464369.4454497379,KKT
32,22,924.6,819.6747231429993,301013.3345421142,KKT
33,4,2257.9,1710.1864599413325,1218119.5836220162,KKT
34,45,3557.7,213787.93580339776,2681519.376336957,KKT
35,21,3477.3,2260.9264945947825,2101131.890265768,KKT
36,10,227.8,144.2263037785696,165392.35310965875,KKT
37,28,234.5,177.2685516473693,109109.687215141,KKT
38,29,4006.6,5075.793417956166,1065510.6499721855,KKT
39,18,3182.5,9026.813237866887,1196267.2854562409,KKT
40,30,891.1,4.1752793616134504e+19,202184378.59591556,KKT
41,31,3892.7,3152.8126570650543,1553324.334859694,KKT
42,43,1152.4,883.2015509619974,495071.14356082096,KKT
43,9,5058.5,4710.167830067001,1166199.90232974,KKT
44,41,891.1,1193.5889002223887,198691.65851579438,KKT
45,19,6324.8,5269.465931773461,2018679.805348299,KKT
46,42,1996.6,1689.5556286118604,500300.2227101858,KKT
